epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
104,1383.89,0.57161,0.81352,1.16854,0.58242,0.53808,0.54554,0.39413,1.3296,1.7145,1.77683,0.000266727,0.000266727,0.000266727
105,1398.47,0.52705,0.76359,1.15055,0.55355,0.57652,0.55838,0.41511,1.31191,1.66444,1.78476,0.000261229,0.000261229,0.000261229
106,1413.17,0.5568,0.76173,1.16278,0.64919,0.50811,0.58352,0.4293,1.35044,1.60651,1.79676,0.000255731,0.000255731,0.000255731
107,1427.4,0.56677,0.77207,1.17593,0.48162,0.61569,0.55963,0.41599,1.38127,1.62125,1.81998,0.000250233,0.000250233,0.000250233
108,1441.18,0.54379,0.7208,1.16053,0.61804,0.51152,0.57028,0.41395,1.35003,1.63803,1.79824,0.000244735,0.000244735,0.000244735
109,1456.55,0.56426,0.7555,1.16795,0.66285,0.49799,0.59372,0.44455,1.31296,1.60519,1.73812,0.000239238,0.000239238,0.000239238
110,1472.16,0.51415,0.73287,1.13072,0.54992,0.60362,0.57606,0.42378,1.35064,1.66206,1.77367,0.00023374,0.00023374,0.00023374
111,1487.8,0.5709,0.72962,1.16273,0.58521,0.55928,0.59039,0.42118,1.41558,1.59094,1.84567,0.000228242,0.000228242,0.000228242
112,1502.29,0.54762,0.6893,1.14391,0.64452,0.55265,0.59646,0.43668,1.35073,1.57127,1.82514,0.000222744,0.000222744,0.000222744
113,1516.81,0.55106,0.74458,1.17003,0.60407,0.55428,0.59121,0.43445,1.35838,1.58036,1.78887,0.000217246,0.000217246,0.000217246
114,1531.72,0.52939,0.76373,1.15806,0.64711,0.54328,0.57671,0.42521,1.34294,1.5395,1.76251,0.000211749,0.000211749,0.000211749
115,1545.82,0.52195,0.6954,1.13442,0.63709,0.54535,0.60294,0.44468,1.33895,1.50514,1.75027,0.000206251,0.000206251,0.000206251
116,1560.79,0.5315,0.67711,1.14123,0.54305,0.58773,0.59393,0.43659,1.36893,1.53316,1.81531,0.000200753,0.000200753,0.000200753
117,1574.88,0.54014,0.71716,1.13537,0.55102,0.61595,0.61256,0.44342,1.36429,1.50691,1.83178,0.000195255,0.000195255,0.000195255
118,1588.67,0.53867,0.69538,1.13332,0.59281,0.57204,0.59318,0.43167,1.33315,1.71904,1.80368,0.000189757,0.000189757,0.000189757
119,1602.86,0.54485,0.72247,1.15421,0.59778,0.57831,0.58723,0.4393,1.3562,1.60705,1.82442,0.00018426,0.00018426,0.00018426
